printlabreportae.php	 BACTERIOLOGY|BACTERIOLOGY|BIOCHEMISTRY|BLOOD BANK|FLUIDS & EXCREATIONS|HAEMATOLOGY|IMMUNOLOGY/SEROLOGY|PROFILE|VIROLOGY	9
printlabreportaehigh.php	BACTERIOLOGY	1
printlabreportaepbf.php	HAEMATOLOGY	1
printlabreporthigh.php	BACTERIOLOGY	1
printlabreportopd.php	IMMUNOLOGY/SEROLOGY	1
printlabreportopdpcrin.php	BACTERIOLOGY|VIROLOGY	2
printlabreportpbf.php	HAEMATOLOGY	1
prothrombinreport.php	HAEMATOLOGY	1
prothrombinreport2.php	HAEMATOLOGY	1
pylorireporte.php	IMMUNOLOGY/SEROLOGY	1
pylorireportin.php	IMMUNOLOGY/SEROLOGY	1
pylori_endo_report_in.php	IMMUNOLOGY/SEROLOGY	1
renalreport.php	PROFILE	1
renalreport2.php	PROFILE	1
rhantibodyprint.php	BLOOD BANK	1
rubella_ipd_report.php	IMMUNOLOGY/SEROLOGY	1
semenreport.php	 BACTERIOLOGY|FLUIDS & EXCREATIONS	2
serumreport.php	PROFILE	1
serumreport1_gas1.php	PROFILE	1
serumreport1_gas2.php	PROFILE	1
serumreport2.php	PROFILE	1
smoothantireport.php	IMMUNOLOGY/SEROLOGY	1
stoolreport.php	FLUIDS & EXCREATIONS	1
stoolreport2.php	FLUIDS & EXCREATIONS	1
tcdcipd_report.php	HAEMATOLOGY	1
test_report_ae.php	BACTERIOLOGY	1
test_report_ipd.php	BACTERIOLOGY	1
thyroidreport.php	IMMUNOLOGY/SEROLOGY	1
tphareport_ae.php	IMMUNOLOGY/SEROLOGY	1
tphareport_in.php	IMMUNOLOGY/SEROLOGY	1
urineacratioreport.php	BIOCHEMISTRY	1
urineacratioreport2.php	BIOCHEMISTRY	1
urineelectroreport.php	BIOCHEMISTRY	1
urineelectroreport2.php	BIOCHEMISTRY	1
urinepcratioreport.php	BIOCHEMISTRY	1
urinephosphatereport.php	BIOCHEMISTRY	1
urinereport.php	FLUIDS & EXCREATIONS	1
urinereport2.php	FLUIDS & EXCREATIONS	1
vdrlreport_ae.php	IMMUNOLOGY/SEROLOGY	1
vdrlreport_in.php	IMMUNOLOGY/SEROLOGY	1
widalreport.php	IMMUNOLOGY/SEROLOGY	1
widalreport2.php	IMMUNOLOGY/SEROLOGY	1
